"subj" "task" "3" "6" "12" "18"
"d1" "F" 421.851063829787 409.113402061856 433.54347826087 431.670212765957
"d1" "C" 491.701030927835 532.578947368421 644.550561797753 650.571428571429
"d1" "S" 666.84693877551 821.060606060606 1160.22916666667 1319.33333333333
"d10" "F" 393.616279069767 373.170454545455 409.035714285714 411.47619047619
"d10" "C" 423.364864864865 488.050632911392 574.620253164557 664.732394366197
"d10" "S" 772.540816326531 990.918604651163 1384.58536585366 1556.31343283582
"d11" "S" 687.080459770115 863.574712643678 1083.73076923077 1259.97368421053
"d12" "F" 474.59595959596 478.80412371134 493.33 504.326530612245
"d12" "C" 564.882978723404 607.824742268041 675.323232323232 731.097826086957
"d12" "S" 576.186813186813 661.941860465116 788.7625 846.2
"d13" "F" 438.32967032967 501.717391304348 438.936842105263 436.957446808511
"d13" "C" 517.663265306122 562.375 619.89247311828 724.438202247191
"d13" "S" 910.5 1058.34020618557 1322.53571428571 1386.01282051282
"d14" "F" 358.132653061225 383.648936170213 387.869565217391 398.255555555556
"d14" "C" 441.977777777778 477.41935483871 530.724137931035 560.064102564103
"d14" "S" 761.25 912.447916666667 1062.65476190476 1217.50746268657
"d15" "F" 391.278350515464 400.212121212121 424.408163265306 424.82
"d15" "C" 437.40404040404 475.2 561.66 566.414141414141
"d15" "S" 749.606382978723 877.726315789474 1137.87912087912 1258.15909090909
"d16" "F" 425.659793814433 425.959183673469 445.659793814433 471.427083333333
"d16" "C" 507.234693877551 568.876288659794 636.897959183673 689.382978723404
"d16" "S" 673.574712643678 874.47619047619 922.384615384615 983.257575757576
"d17" "F" 356.695652173913 362.260416666667 357.451612903226 381.693181818182
"d17" "C" 507.95652173913 538.416666666667 617.541666666667 641.153846153846
"d17" "S" 691.282828282828 735.567010309278 915.197802197802 1002.01162790698
"d18" "F" 509.765957446808 486.505263157895 491.68085106383 500.936842105263
"d18" "C" 607.075268817204 660.59375 630.884210526316 706.666666666667
"d18" "S" 604.30612244898 701.063829787234 884.678571428571 1042.58571428571
"d2" "F" 442.52688172043 422.875 452.489361702128 478.082474226804
"d2" "C" 432.705263157895 518.308510638298 577.215053763441 592.808988764045
"d2" "S" 622.606382978723 787.5 1042.64210526316 1217.62637362637
"d20" "S" 550.826530612245 584.616161616162 721.945652173913 812.416666666667
"d21" "F" 345.8 369.408163265306 369.371134020619 372.628865979381
"d21" "C" 427.878787878788 476.132653061225 510.43956043956 557.8
"d21" "S" 586.842105263158 679.849462365591 921.703296703297 1135.82716049383
"d22" "F" 406.914893617021 395.655913978495 427.095744680851 431.426966292135
"d22" "C" 556.41935483871 621.204301075269 676.111111111111 798.19512195122
"d22" "S" 654.147727272727 710.233766233766 839.661538461538 922.395833333333
"d3" "F" 411.153846153846 430.688172043011 423.252631578947 426.082474226804
"d3" "C" 488.948453608247 484.552083333333 534.90625 571.121212121212
"d3" "S" 587.278350515464 696.1875 812.521276595745 927.044444444444
"d4" "F" 407.030303030303 436.979591836735 457.171717171717 445.244680851064
"d4" "C" 562.38961038961 618.907692307692 615.192307692308 640.910447761194
"d4" "S" 723.430107526882 1033.14285714286 1134.5 1455.53658536585
"d5" "F" 503.41 501.808080808081 500.87 515.44
"d5" "C" 664.59595959596 718.636363636364 833.464646464646 953.397959183673
"d5" "S" 600.52688172043 642.54347826087 691.166666666667 732.203125
"d6" "F" 405.936170212766 447.817204301075 429.905263157895 426.736263736264
"d6" "C" 530.623655913978 540.447916666667 593.851063829787 656.989583333333
"d6" "S" 791.020202020202 987.20618556701 1281.03333333333 1544.68674698795
"d7" "F" 417.204301075269 425.433333333333 405.455555555556 426.83908045977
"d7" "C" 482.612903225806 507.291139240506 576.05 595.738095238095
"d8" "F" 409.729166666667 422.195652173913 456.896551724138 414.329787234043
"d8" "C" 552.884210526316 587.989010989011 712.593023255814 746.8
"d8" "S" 701.47 805.010204081633 1168.15625 1370.30107526882
"d9" "F" 373.020618556701 415.414893617021 405.333333333333 406.810526315789
"d9" "C" 483.24 511.536082474227 561.193548387097 625.459183673469
"d9" "S" 677.6 763.376470588235 937.354838709677 1083.1976744186
